Depth,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Temperature (°C),Suspended Solids (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),pH
Middle Water,0.081,65,100,0.05,0.004,0.017,23.5,2.5,1.0,0.06,0.001,0.5,0.14,0.95,1.9,4.6,7.5
Bottom Water,0.078,69,90,0.059,0.006,0.019,23.4,4.2,1.07,0.06,0.001,0.8,0.14,1,2.9,4.8,7.5
Surface Water,0.1,66,380,0.061,0.009,0.016,24.5,1.6,0.77,0.04,0.001,1.5,0.17,0.7,2,4.6,7.4
Middle Water,0.1,62,160,0.054,0.008,0.016,24.4,2.8,0.84,0.04,0.001,0.6,0.16,0.78,0.9,4.3,7.4
Bottom Water,0.07,67,120,0.035,0.007,0.019,24.2,2.2,0.32,0.06,<0.001,<0.5,0.11,0.28,1,4.7,7.4
Surface Water,0.12,84,280,0.12,0.046,0.017,25.3,2.6,0.6,0.07,0.002,0.6,0.29,0.43,3.8,5.7,7.5
Middle Water,0.11,78,390,0.08,0.044,0.005,25.2,2.2,0.39,0.08,0.002,0.7,0.23,0.27,3.5,5.3,7.5
Bottom Water,0.12,85,390,0.086,0.045,0.006,25.2,4.6,0.62,0.07,0.002,0.9,0.25,0.49,3.6,5.8,7.6
Surface Water,0.056,82,410,0.069,0.028,0.02,20.4,11,0.64,0.03,<0.001,1.6,0.15,0.54,<0.2,6.1,7.5
Middle Water,0.05,84,380,0.067,0.028,0.018,20.5,4.1,0.34,0.04,<0.001,0.7,0.15,0.24,0.6,6.2,7.5
Bottom Water,0.048,85,390,0.069,0.029,0.019,20.5,3.1,0.69,0.05,<0.001,<0.5,0.15,0.59,0.5,6.3,7.5
Surface Water,0.079,90,550,0.07,0.032,0.019,20.1,6.3,0.7,0.04,<0.001,1,0.18,0.6,1.1,6.7,7.5
Middle Water,0.079,75,310,0.069,0.028,0.019,20.0,3.9,0.61,0.04,<0.001,0.5,0.18,0.51,0.8,5.6,7.5
Bottom Water,0.08,85,610,0.076,0.029,0.02,20.0,6,0.81,0.05,<0.001,1.1,0.19,0.7,0.7,6.3,7.5
Surface Water,0.047,80,250,0.065,0.013,0.016,17.3,3.4,0.81,0.03,<0.001,0.9,0.13,0.73,0.5,6.3,7.3
Middle Water,0.056,88,170,0.073,0.013,0.018,17.7,6.5,0.64,0.03,<0.001,1.6,0.14,0.55,0.4,6.9,7.3
Bottom Water,0.049,88,250,0.069,0.013,0.017,17.7,4.9,0.76,0.03,<0.001,1.2,0.13,0.68,0.3,6.9,7.4
Surface Water,0.081,97,260,<0.002,<0.002,<0.002,19.8,2.8,0.37,0.02,0.001,0.9,0.09,0.37,0.4,7.4,7.6
Middle Water,0.071,90,160,0.034,0.005,<0.002,19.7,5,0.5,0.02,<0.001,0.7,0.11,0.46,0.4,6.8,7.6
Bottom Water,0.075,91,160,0.004,0.004,0.005,19.7,9.4,0.38,0.02,0.001,1.8,0.08,0.37,0.3,6.9,7.6
Surface Water,0.08,114,120,0.028,0.006,<0.002,22.1,3.8,0.34,0.03,0.005,0.6,0.11,0.31,0.5,8.2,8.3
Middle Water,0.086,82,190,0.02,0.006,<0.002,22.0,3.5,0.34,0.03,0.006,0.8,0.11,0.31,0.5,5.9,8.3
Bottom Water,0.079,84,290,0.016,0.007,<0.002,22.0,3.9,0.32,0.02,0.005,0.6,0.1,0.3,0.7,6.1,8.3
Surface Water,0.043,92,5,0.031,0.005,<0.002,24.3,6.9,0.45,0.02,0.002,2.2,0.08,0.41,5.3,6.4,8.1
Middle Water,0.036,97,16,0.009,0.003,<0.002,24.1,8.5,0.34,0.02,0.002,2.8,0.05,0.33,5.4,6.8,8.1
Bottom Water,0.034,97,30,<0.002,<0.002,<0.002,24.0,10,0.37,0.03,0.002,2.8,0.04,0.37,5.4,6.8,8.1
Surface Water,0.073,92,820,0.46,0.016,<0.002,27.5,4.2,0.77,0.04,0.004,2,0.55,0.29,20,6.3,8.0
Middle Water,0.041,94,310,0.36,0.014,<0.002,26.5,4.6,0.44,0.06,0.002,1.8,0.42,0.07,15,6.4,7.9
Bottom Water,0.053,76,420,0.12,0.009,0.006,25.4,3.7,0.19,0.03,0.002,0.9,0.18,0.06,3.8,5.1,7.9
Surface Water,0.045,93,3500,0.26,0.014,<0.002,28.1,2.6,0.72,0.04,0.004,1.3,0.32,0.45,23,6.2,8.2
Middle Water,0.056,86,3400,0.23,0.017,0.014,24.0,4.1,0.86,0.04,0.002,1.8,0.3,0.61,8.5,6.0,7.9
Bottom Water,0.057,42,3000,0.22,0.017,0.018,23.2,1.7,0.35,0.06,0.002,0.6,0.29,0.11,5.5,3.0,7.9
Surface Water,0.13,92,1400,0.24,0.033,0.021,26.0,10,0.57,0.09,0.004,2.5,0.4,0.3,15,6.3,7.8
Middle Water,0.15,70,1600,0.22,0.023,0.02,25.5,1.4,0.52,0.05,0.004,0.9,0.39,0.28,11,4.8,7.7
Bottom Water,0.08,68,350,0.2,0.013,0.02,22.6,12,0.37,0.07,0.001,2.5,0.29,0.16,4.9,4.8,7.7
Surface Water,0.09,93,220,0.11,0.017,0.008,28.1,3.2,0.41,0.09,0.001,0.8,0.22,0.28,3.2,6.1,7.4
Middle Water,0.072,78,600,0.14,0.016,0.009,27.9,13,0.49,0.06,<0.001,2.3,0.23,0.33,3.4,5.1,7.4
Bottom Water,0.068,78,530,0.092,0.014,0.009,27.9,3.3,0.43,0.07,<0.001,1,0.17,0.32,2,5.1,7.4
Surface Water,0.04,66,110,0.046,0.011,0.012,27.7,3.6,0.66,0.05,0.002,0.8,0.1,0.6,2.5,4.3,8.1
Middle Water,0.038,87,260,0.043,0.011,0.012,27.8,4,0.39,0.05,0.002,0.8,0.09,0.34,1.8,5.7,8.1
Bottom Water,0.039,86,470,0.01,0.009,<0.002,27.8,6.3,0.32,0.05,0.002,1,0.06,0.3,1.8,5.6,8.1
Surface Water,0.037,77,140,0.17,0.022,0.019,23.3,4.6,0.72,0.11,<0.001,1,0.23,0.53,1.1,5.4,7.2
Middle Water,0.037,87,290,0.17,0.023,0.02,23.2,6.4,0.7,0.1,<0.001,1.6,0.23,0.51,0.5,6.1,7.2
Bottom Water,0.03,87,170,0.12,0.023,0.013,23.2,20,0.56,0.13,<0.001,3.4,0.17,0.42,0.6,6.2,7.2
Surface Water,0.061,72,180,0.015,0.01,<0.002,22.6,4.6,0.83,0.06,<0.001,0.6,0.09,0.8,0.8,5.1,7.6
Middle Water,0.067,86,240,0.05,0.012,0.011,22.6,3.6,0.41,0.06,<0.001,1.1,0.13,0.35,0.7,6.1,7.6
Bottom Water,0.065,86,270,0.031,0.012,0.011,22.6,7.7,0.66,0.06,<0.001,1.4,0.11,0.62,1,6.2,7.6
Surface Water,0.044,87,260,0.081,0.028,0.014,18.2,10,0.8,0.07,<0.001,2.7,0.15,0.69,0.6,6.7,7.3
Middle Water,0.04,91,370,0.092,0.029,0.017,18.2,5.4,0.57,0.07,<0.001,1.5,0.16,0.45,0.8,7.0,7.3
Bottom Water,0.039,91,260,0.04,0.024,0.012,18.2,4.1,0.67,0.07,<0.001,0.9,0.1,0.61,1.1,7.1,7.3
Surface Water,0.17,76,140,0.11,0.011,0.02,18.6,7.3,0.46,0.07,0.001,1.6,0.29,0.34,1.3,5.9,7.4
Middle Water,0.15,93,520,0.11,0.011,0.02,18.2,6.2,0.5,0.06,0.001,1.6,0.27,0.38,1.4,7.2,7.4
Bottom Water,0.11,93,300,0.086,0.009,0.018,18.2,9.4,0.53,0.05,<0.001,1.2,0.21,0.43,1.2,7.2,7.4
Surface Water,0.28,93,100,0.17,0.044,0.045,18.9,1.7,1.01,0.12,0.001,1,0.49,0.8,0.7,7.1,7.2
Middle Water,0.13,92,110,0.087,0.02,0.016,18.7,2,0.85,0.08,<0.001,0.7,0.24,0.74,0.6,7.1,7.3
Bottom Water,0.13,94,80,0.12,0.023,0.015,18.6,3.2,0.76,0.07,<0.001,0.9,0.27,0.62,0.5,7.2,7.3
Surface Water,0.11,74,850,0.093,0.013,0.013,22.4,7,0.73,0.05,<0.001,1.4,0.22,0.62,0.9,5.3,7.1
Middle Water,0.096,85,1200,0.082,0.011,0.007,22.2,7.4,0.73,0.05,<0.001,1.5,0.19,0.64,1.2,6.1,7.1
Bottom Water,0.079,86,1100,0.062,0.01,<0.002,22.2,9.8,0.82,0.05,<0.001,2.1,0.15,0.75,0.8,6.2,7.2
Surface Water,0.062,90,100,0.062,0.01,0.018,24.3,4.4,0.67,0.05,<0.001,0.8,0.13,0.6,0.8,6.2,7.4
Middle Water,0.062,86,110,0.053,0.01,<0.002,24.3,4,0.77,0.06,<0.001,1,0.13,0.71,0.9,6.0,7.4
Bottom Water,0.057,89,120,0.06,0.008,<0.002,24.3,5.4,0.84,0.05,<0.001,1.7,0.13,0.77,1.1,6.1,7.4
Surface Water,0.11,108,880,0.12,0.026,0.012,27.7,5.4,0.99,0.05,0.006,1,0.26,0.84,3.2,7.1,8.1
Middle Water,0.1,164,1500,0.13,0.026,0.012,27.7,2.6,0.87,0.05,0.006,0.9,0.26,0.71,3.9,10.8,8.1
Bottom Water,0.085,82,510,0.11,0.025,0.011,27.4,4.2,0.84,0.04,0.005,1.1,0.22,0.7,2.8,5.4,8.1
Surface Water,0.16,53,270,0.12,0.022,0.016,27.5,2.2,0.46,0.06,0.008,0.6,0.3,0.32,0.6,3.5,8.0
Middle Water,0.13,66,410,0.088,0.019,0.009,27.5,4.8,0.41,0.06,0.007,1.6,0.24,0.3,0.6,4.3,8.0
Bottom Water,0.1,64,290,0.078,0.014,0.014,26.8,3.1,0.36,0.05,0.005,0.5,0.19,0.27,0.2,4.2,8.0
Surface Water,0.14,112,760,0.17,0.035,0.021,27.7,4.2,0.48,0.06,0.006,1.1,0.35,0.27,5.2,7.4,7.9
Middle Water,0.1,57,930,0.14,0.03,0.014,27.5,10,0.51,0.05,0.004,1.8,0.27,0.34,4.6,3.8,7.9
Bottom Water,0.1,55,830,0.14,0.03,0.014,26.4,5.2,0.5,0.05,0.003,1.2,0.27,0.33,3.6,3.7,7.9
Surface Water,0.13,87,3400,0.15,0.04,0.025,26.4,6.1,0.46,0.1,0.004,1.6,0.32,0.27,<0.2,5.9,7.8
Middle Water,0.11,122,3600,0.13,0.039,0.024,26.1,4.2,0.41,0.1,0.003,1,0.28,0.24,<0.2,8.3,7.8
Bottom Water,0.046,60,3500,0.074,0.026,0.019,26.0,5,0.26,0.09,0.001,1.4,0.15,0.16,0.4,4.1,7.8
Surface Water,0.094,109,1200,0.091,0.021,0.013,28.9,6.7,0.34,0.07,0.004,2,0.21,0.23,3.5,7.0,7.9
Middle Water,0.066,141,190,0.042,0.008,0.008,29.2,9.5,0.25,0.06,0.003,2.5,0.12,0.2,1.7,9.1,7.9
Bottom Water,0.043,72,77,0.021,0.006,0.008,29.3,9.9,0.23,0.06,0.002,2.8,0.07,0.2,1.8,4.6,7.9
Surface Water,0.069,108,220,0.13,0.043,0.019,26.4,7.2,0.36,0.06,0.002,2.4,0.24,0.19,5.5,7.3,7.8
Middle Water,0.062,131,260,0.12,0.038,0.011,26.4,3.9,0.37,0.05,0.002,0.8,0.22,0.21,5.3,8.8,7.8
Bottom Water,0.052,75,420,0.1,0.034,0.015,26.3,3.6,0.37,0.05,0.002,1.4,0.19,0.24,5.1,5.0,7.8
Surface Water,0.08,107,530,0.082,0.031,0.017,22.7,5.8,0.46,0.07,0.004,1,0.19,0.35,0.5,7.7,8.1
Middle Water,0.074,154,530,0.083,0.031,0.029,23.5,4.8,0.48,0.07,0.003,1.1,0.19,0.37,0.3,10.9,8.1
Bottom Water,0.091,76,1200,0.099,0.029,0.016,23.5,3.8,0.47,0.08,0.004,0.8,0.22,0.34,0.7,5.4,8.1
Surface Water,0.11,71,820,0.16,0.016,0.032,19.7,3.2,0.75,0.06,0.003,0.5,0.29,0.57,0.7,5.4,8.0
Middle Water,0.11,83,730,0.16,0.016,0.032,19.7,4.1,0.71,0.08,0.003,0.5,0.29,0.53,<0.2,6.3,8.0
Bottom Water,0.11,85,670,0.16,0.015,0.032,19.8,5,0.66,0.09,0.003,0.6,0.29,0.48,0.3,6.4,8.0
Surface Water,0.13,96,1200,0.057,0.009,0.019,19.6,4.8,0.61,0.05,0.004,0.8,0.2,0.54,2.2,7.2,8.1
Middle Water,0.11,87,1000,0.048,0.008,0.018,19.6,4.8,0.36,0.04,0.004,0.9,0.17,0.3,2,6.6,8.1
Bottom Water,0.11,90,1200,0.049,0.008,0.017,19.5,4.3,1.26,0.08,0.004,0.8,0.17,1.2,2,6.8,8.1
Surface Water,0.13,77,370,0.078,0.009,0.013,22.2,10,0.76,0.03,0.001,1.7,0.22,0.67,<0.2,5.5,7.4
Middle Water,0.1,71,440,0.06,0.008,0.012,22.2,9.7,0.73,0.03,0.001,1.3,0.17,0.66,0.8,5.1,7.5
Bottom Water,0.096,85,450,0.049,0.005,0.01,22.2,11,0.55,<0.02,0.001,1.8,0.15,0.5,0.3,6.1,7.6
Surface Water,0.23,90,2500,0.21,0.038,0.02,25.0,14,0.6,0.05,0.006,3.3,0.48,0.35,7.8,6.2,7.8
Middle Water,0.18,80,2800,0.15,0.022,0.012,24.8,13,0.67,0.05,0.005,2.4,0.35,0.5,5.6,5.5,7.8
Bottom Water,0.21,77,3800,0.16,0.023,0.011,23.8,7.6,0.38,0.06,0.005,1.6,0.39,0.2,6.2,5.4,7.8
Surface Water,0.13,68,5500,0.37,0.085,0.011,26.3,7.6,0.6,0.04,0.004,1.4,0.59,0.14,0.3,4.7,7.7
Middle Water,0.1,66,5600,0.29,0.071,0.009,25.4,6.9,0.87,0.03,0.003,1.4,0.46,0.51,0.3,4.6,7.8
Bottom Water,0.063,57,2300,0.16,0.053,0.012,24.0,11,0.94,0.03,0.002,2.1,0.28,0.73,0.5,4.0,7.8
Surface Water,0.066,100,170,0.36,0.037,0.01,27.7,4,0.57,0.08,0.007,1.6,0.46,0.17,19,6.8,8.3
Middle Water,0.19,101,980,0.23,0.034,0.019,25.7,4.6,1.06,0.05,0.007,1.3,0.45,0.8,8.7,7.0,7.9
Bottom Water,0.12,40,550,0.27,0.034,0.015,22.5,5.1,0.8,0.06,0.004,1.5,0.42,0.5,8.6,4.6,7.9
Surface Water,0.11,75,180,0.22,0.062,0.027,28.5,1.8,1.0,0.06,0.004,0.8,0.39,0.72,5.6,4.9,7.8
Middle Water,0.12,77,820,0.22,0.062,0.028,28.4,1.4,0.82,0.04,0.005,0.8,0.4,0.54,4.8,5.1,7.8
Bottom Water,0.13,73,480,0.22,0.062,0.031,28.2,1.6,1.12,0.06,0.005,0.8,0.41,0.84,4.9,4.9,7.8
Surface Water,0.15,82,1200,0.15,0.025,0.025,28.8,13,0.89,0.08,0.006,2.5,0.33,0.71,1.2,5.3,7.9
Middle Water,0.13,74,920,0.11,0.021,0.023,28.8,16,0.52,0.07,0.005,2.3,0.26,0.39,1.3,4.8,7.9
Bottom Water,0.12,79,1200,0.1,0.018,0.023,28.9,14,0.47,0.07,0.005,1.8,0.24,0.35,0.3,5.1,7.9
Surface Water,0.14,80,1200,0.11,0.019,0.022,29.0,3.2,1.05,0.08,0.008,0.6,0.27,0.92,1.7,5.2,8.0
Middle Water,0.13,84,1400,0.099,0.017,0.022,29.0,3.6,1.32,0.08,0.007,0.9,0.25,1.2,1.3,5.4,8.0
Bottom Water,0.12,83,2000,0.095,0.017,0.024,28.9,3.7,1.21,0.08,0.007,0.8,0.23,1.1,0.9,5.4,8.0
Surface Water,0.032,91,30,0.086,0.027,0.017,24.3,2,0.52,0.03,<0.001,<0.5,0.15,0.41,2.4,6.3,7.9
Middle Water,0.033,89,140,0.087,0.027,0.016,24.4,2.1,0.64,0.05,<0.001,0.8,0.15,0.53,2.1,6.2,7.8
Bottom Water,0.035,92,170,0.089,0.027,0.017,24.4,2.9,1.06,0.05,0.001,0.8,0.15,0.94,1.9,6.4,7.8
Surface Water,0.043,86,540,0.11,0.017,0.013,22.0,12,0.83,0.05,0.001,2.4,0.17,0.7,2.8,6.2,7.8
Middle Water,0.046,95,180,0.1,0.016,0.014,22.4,12,1.01,0.04,0.001,2.7,0.16,0.89,2.7,6.9,7.8
Bottom Water,0.047,96,310,0.11,0.016,0.014,22.3,13,1.05,0.07,0.001,3,0.17,0.92,3.1,6.9,7.8
Surface Water,0.088,72,180,0.27,0.009,0.033,18.3,2,1.18,0.08,0.001,0.7,0.37,0.9,2.5,5.6,7.8
Middle Water,0.098,72,90,0.28,0.011,0.034,18.2,1.3,0.87,0.09,0.002,0.5,0.39,0.58,3,5.7,7.8
Bottom Water,0.15,74,340,0.26,0.007,0.013,18.2,2.7,0.82,0.08,0.002,0.7,0.42,0.55,3.8,5.8,7.8
Surface Water,0.13,66,30,0.047,0.011,0.014,19.9,1.2,0.56,0.06,0.002,<0.5,0.19,0.5,1.3,5.0,7.7
Middle Water,0.13,67,60,0.043,0.011,0.014,19.9,6.2,0.55,0.18,0.002,1.2,0.18,0.5,0.5,5.1,7.7
Bottom Water,0.12,70,120,0.042,0.009,0.013,19.9,1.3,0.52,0.29,0.002,<0.5,0.17,0.47,0.5,5.2,7.7
Surface Water,0.1,63,80,0.038,0.009,0.014,20.2,5.4,0.82,0.07,0.002,1.1,0.15,0.77,0.4,4.7,7.7
Middle Water,0.1,66,130,0.036,0.009,0.014,20.3,3.6,1.35,0.12,0.002,1,0.15,1.3,0.5,4.9,7.7
Bottom Water,0.098,67,90,0.034,0.01,0.015,20.3,3.6,0.67,0.05,0.002,0.7,0.14,0.63,0.3,5.0,7.7
Surface Water,0.12,63,60,0.059,0.006,0.02,23.7,2.1,0.75,0.06,0.002,0.5,0.19,0.68,3,4.4,7.5
Middle Water,0.11,64,40,0.061,0.006,0.02,23.6,2.3,1.06,0.06,0.002,0.5,0.18,0.99,2.4,4.5,7.5
Bottom Water,0.089,76,130,0.068,0.006,0.02,23.4,2.1,0.85,0.07,0.001,0.7,0.16,0.78,2.4,5.3,7.5
Surface Water,0.1,67,270,0.063,0.009,0.018,24.5,2.8,0.97,0.04,0.001,0.8,0.17,0.9,2.1,4.6,7.4
Middle Water,0.095,63,180,0.054,0.008,0.015,24.4,2,0.86,0.05,0.001,0.5,0.16,0.8,1.1,4.3,7.4
Bottom Water,0.092,67,220,0.051,0.008,0.017,24.4,1.4,0.48,0.07,<0.001,<0.5,0.15,0.42,1.2,4.6,7.4
Surface Water,0.13,88,570,0.12,0.046,0.018,25.4,5.2,0.39,0.08,0.002,1,0.3,0.22,2.7,6.0,7.5
Middle Water,0.12,81,980,0.12,0.046,0.016,25.4,4.8,0.57,0.08,0.002,0.9,0.29,0.4,3.4,5.5,7.5
Bottom Water,0.13,81,1100,0.12,0.046,0.004,25.4,5.3,0.61,0.08,0.002,1,0.3,0.44,4.2,5.5,7.5
Surface Water,0.052,82,290,0.066,0.027,0.018,20.4,6.9,0.68,0.03,<0.001,0.7,0.15,0.59,0.6,6.1,7.6
Middle Water,0.057,85,480,0.016,0.028,0.009,20.4,5.2,0.52,0.04,<0.001,<0.5,0.1,0.48,<0.2,6.3,7.6
Bottom Water,0.052,85,440,0.062,0.028,0.01,20.5,3,0.42,0.03,<0.001,<0.5,0.14,0.33,0.4,6.3,7.6
Surface Water,0.1,84,1800,0.078,0.031,0.021,20.1,6.8,0.82,0.04,0.001,1,0.21,0.71,0.8,6.2,7.5
Middle Water,0.073,73,930,0.071,0.029,0.019,20.1,5.3,0.73,0.04,<0.001,0.7,0.17,0.63,1,5.4,7.6
Bottom Water,0.07,86,560,0.071,0.029,0.018,20.0,5.5,1.0,0.06,<0.001,1.2,0.17,0.9,0.8,6.4,7.6
Surface Water,0.054,76,180,0.066,0.013,0.016,17.5,4.8,0.76,0.03,<0.001,0.9,0.13,0.68,0.5,6.0,7.4
Middle Water,0.048,89,260,0.084,0.013,0.018,17.7,4.9,0.9,0.04,<0.001,1.2,0.15,0.8,0.5,6.9,7.4
Bottom Water,0.047,88,430,0.072,0.012,0.018,17.7,7,0.59,0.03,<0.001,1.4,0.13,0.51,0.5,6.9,7.4
Surface Water,0.085,87,490,0.019,0.002,<0.002,19.9,3.8,0.41,0.03,0.001,0.7,0.11,0.39,0.4,6.6,7.7
Middle Water,0.087,90,500,0.037,0.007,0.005,19.7,5.6,0.59,0.03,0.001,1,0.13,0.55,0.3,6.8,7.7
Bottom Water,0.08,89,530,0.004,<0.002,0.004,19.7,9.3,0.33,0.03,0.001,1.6,0.09,0.32,0.3,6.8,7.7
Surface Water,0.13,112,410,0.053,0.015,0.015,22.1,4,0.53,0.03,0.008,0.6,0.2,0.46,0.7,8.1,8.2
Middle Water,0.12,80,840,0.043,0.008,0.014,22.0,4.6,0.58,0.04,0.008,0.7,0.17,0.53,<0.2,5.8,8.3
Bottom Water,0.1,82,930,0.023,0.007,0.013,22.0,4.8,0.42,0.03,0.006,0.8,0.13,0.39,0.4,5.9,8.3
Surface Water,0.06,91,30,0.045,0.008,<0.002,24.3,8.9,0.4,0.03,0.003,2.2,0.11,0.35,5.2,6.3,8.0
Middle Water,0.05,96,50,<0.002,<0.002,<0.002,24.1,10,0.38,0.03,0.002,2.8,0.05,0.38,5.8,6.7,8.1
Bottom Water,0.042,93,60,0.021,0.005,<0.002,24.1,10,0.35,0.03,0.002,2.5,0.07,0.32,5.8,6.5,8.0
Surface Water,0.065,97,840,0.48,0.014,<0.002,27.5,4.3,0.7,0.06,0.003,1.9,0.56,0.21,21,6.6,8.0
Middle Water,0.045,94,1800,0.43,0.014,<0.002,27.2,3.7,0.52,0.02,0.002,1.5,0.49,0.08,17,6.5,8.0
Bottom Water,0.049,75,840,0.14,0.009,0.007,25.5,3.7,0.23,0.02,0.002,1,0.2,0.08,4.2,5.1,7.9
Surface Water,0.055,96,6900,0.26,0.015,<0.002,28.4,3.3,0.63,0.04,0.004,1.8,0.33,0.35,23,6.4,8.2
Middle Water,0.074,81,10000,0.25,0.016,0.006,27.5,4.6,0.55,0.05,0.005,2,0.34,0.28,18,5.5,8.1
Bottom Water,0.06,41,3700,0.23,0.017,0.018,23.5,2.6,0.39,0.05,0.002,1.4,0.31,0.14,6.1,2.9,7.9
Surface Water,0.16,71,1400,0.22,0.025,0.015,26.1,2.8,0.56,0.05,0.005,1.2,0.41,0.31,12,4.8,7.8
Middle Water,0.12,68,3000,0.22,0.024,0.019,26.0,2.6,0.5,0.04,0.004,1.1,0.36,0.26,12,4.6,7.8
Bottom Water,0.069,70,2200,0.2,0.016,0.014,25.5,9.9,0.39,0.06,0.002,2,0.29,0.17,7.9,4.8,7.8
Surface Water,0.11,82,520,0.11,0.018,0.014,28.0,4,0.44,0.07,0.001,0.9,0.24,0.31,2.9,5.4,7.4
Middle Water,0.1,66,1700,0.13,0.017,0.012,27.9,3.9,0.44,0.07,0.001,0.9,0.25,0.29,2.5,4.3,7.4
Bottom Water,0.096,72,2500,0.11,0.017,0.016,27.9,6.2,0.49,0.09,0.001,1,0.22,0.36,2.1,4.7,7.4
Surface Water,0.048,70,220,0.046,0.012,0.012,27.5,3.4,0.68,0.07,0.003,0.8,0.11,0.62,1.8,4.6,8.0
Middle Water,0.038,87,300,0.049,0.012,0.012,27.9,5,0.5,0.05,0.002,1.2,0.1,0.44,2.2,5.7,8.0
Bottom Water,0.033,86,440,0.04,0.012,0.028,27.9,4.9,0.33,0.05,0.002,0.8,0.09,0.28,1.7,5.6,8.1
Surface Water,0.058,67,370,0.17,0.025,0.019,23.4,4.9,0.85,0.13,<0.001,1.3,0.25,0.65,1.2,4.7,7.2
Middle Water,0.063,85,1100,0.17,0.024,0.019,23.4,6,0.64,0.11,<0.001,1.5,0.26,0.45,0.9,6.0,7.2
